City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,udachny,66.4167,112.4,-23.94,100,96,1.91,RU,1705923823
1,samarinda,-0.5,117.15,24.37,97,82,1.15,ID,1705923823
2,longyearbyen,78.2186,15.6401,-9.09,67,20,11.32,SJ,1705923603
3,yellowknife,62.456,-114.3525,-34.77,90,20,0.0,CA,1705923824
4,edinburgh of the seven seas,-37.0676,-12.3116,19.17,87,71,9.75,SH,1705923554
5,makoua,0.0069,15.6333,38.31,25,24,1.74,CG,1705923824
6,albany,42.6001,-73.9662,-8.69,86,9,0.45,US,1705923825
7,shache,38.4167,77.2406,-1.84,40,92,2.65,CN,1705923825
8,bredasdorp,-34.5322,20.0403,19.06,70,100,7.87,ZA,1705923825
9,college,64.8569,-147.8028,-36.01,51,0,1.54,US,1705923825
10,zamora,-4.0692,-78.9567,23.58,100,100,0.45,EC,1705923682
11,ust-nera,64.5667,143.2,-40.32,97,94,2.6,RU,1705923826
12,waitangi,-43.9535,-176.5597,17.68,96,100,6.26,NZ,1705923826
13,axim,4.8699,-2.2405,31.43,63,15,3.26,GH,1705923826
14,tura,25.5198,90.2201,14.88,60,49,1.28,IN,1705923826
15,grytviken,-54.2811,-36.5092,2.93,98,100,2.45,GS,1705923827
16,port-aux-francais,-49.35,70.2167,6.34,81,93,11.78,TF,1705923827
17,talnakh,69.4865,88.3972,-10.44,94,100,9.14,RU,1705923827
18,porto novo,6.4965,2.6036,32.9,31,31,1.96,BJ,1705923828
19,kodiak,57.79,-152.4072,-3.27,80,100,10.29,US,1705923828
20,nizhnesortymskiy,62.4397,71.7603,-6.89,88,100,10.76,RU,1705923828
21,puerto natales,-51.7236,-72.4875,18.25,55,75,6.17,CL,1705923582
22,la'ie,21.6477,-157.9253,25.98,86,32,3.3,US,1705923828
23,gadzhiyevo,69.2551,33.3362,-8.02,93,100,5.81,RU,1705923829
24,salair,54.2312,85.7972,-19.39,95,5,0.75,RU,1705923829
25,adamstown,-25.066,-130.1015,24.32,81,100,3.91,PN,1705923829
26,toamasina,-18.1667,49.3833,31.0,70,20,4.12,MG,1705923829
27,polyarnyy,69.1989,33.4478,-6.99,92,100,6.3,RU,1705923829
28,san luis,-33.295,-66.3356,24.09,46,23,1.9,AR,1705923830
29,bandarbeyla,9.4942,50.8122,26.04,63,20,11.45,SO,1705923830
30,qaqortoq,60.7167,-46.0333,-12.73,74,95,3.39,GL,1705923830
31,afaahiti,-17.75,-149.2833,24.93,80,84,8.28,PF,1705923830
32,bethel,41.3712,-73.414,-5.28,78,0,0.45,US,1705923830
33,puerto ayora,-0.7393,-90.3518,25.31,99,47,1.34,EC,1705923831
34,blackmans bay,-43.0167,147.3167,12.07,66,55,0.84,AU,1705923831
35,tiksi,71.6872,128.8694,-27.57,92,100,11.14,RU,1705923831
36,dange,12.8513,5.3471,32.81,6,68,6.61,NG,1705923831
37,jinghong,21.991,100.7341,17.89,47,7,1.41,CN,1705923831
38,sao joao da barra,-21.6403,-41.0511,27.05,78,4,7.6,BR,1705923832
39,okha,53.5739,142.9478,-29.63,96,45,0.59,RU,1705923832
40,saint-joseph,-21.3667,55.6167,29.21,75,99,3.98,RE,1705923832
41,harstad,68.799,16.5293,-0.34,73,100,10.73,NO,1705923832
42,san julian,21.0167,-102.1667,11.13,70,57,1.0,MX,1705923832
43,aldan,58.6031,125.3894,-14.33,95,100,5.08,RU,1705923833
44,siraha,26.6541,86.2087,16.62,38,0,2.44,NP,1705923833
45,jamestown,42.097,-79.2353,-7.94,93,0,4.12,US,1705923833
46,andorra,42.5,1.5,14.0,60,0,1.03,AD,1705923833
47,vilyuchinsk,52.9306,158.4028,-7.85,90,51,2.71,RU,1705923834
48,rathdrum,47.8137,-116.892,2.48,97,100,4.63,US,1705923834
49,merizo village,13.2658,144.6691,24.85,92,96,8.45,GU,1705923834
50,arkhara,49.4212,130.0842,-32.35,98,31,2.24,RU,1705923834
51,morki,56.4303,48.9947,-16.66,95,52,2.7,RU,1705923834
52,nagqu,31.5,92.0,-13.05,70,10,2.02,CN,1705923835
53,margaret river,-33.95,115.0667,18.23,70,1,4.38,AU,1705923835
54,kangding,30.0513,101.9603,-0.23,50,87,1.95,CN,1705923835
55,ilulissat,69.2167,-51.1,-10.99,67,75,7.72,GL,1705923835
56,rio grande,-32.035,-52.0986,25.06,58,98,6.53,BR,1705923836
57,khovd,48.0056,91.6419,-20.81,97,9,0.33,MN,1705923716
58,hermanus,-34.4187,19.2345,19.02,76,100,8.6,ZA,1705923690
59,hawaiian paradise park,19.5933,-154.9731,22.24,94,75,1.54,US,1705923836
60,wailua homesteads,22.0669,-159.378,22.24,87,20,4.12,US,1705923837
61,masterton,-40.9597,175.6575,18.82,99,91,1.5,NZ,1705923837
62,chonchi,-42.6128,-73.8092,16.73,76,7,2.48,CL,1705923837
63,aasiaat,68.7098,-52.8699,-15.35,96,100,4.27,GL,1705923837
64,caldwell,43.6629,-116.6874,4.91,90,100,4.12,US,1705923837
65,kerikeri,-35.2268,173.9474,19.95,88,36,1.86,NZ,1705923838
66,paso de los toros,-32.8167,-56.5167,20.66,63,0,5.27,UY,1705923643
67,suzemka,52.3178,34.0689,-7.39,90,100,4.45,RU,1705923838
68,avarua,-21.2078,-159.775,25.03,83,75,2.57,CK,1705923561
69,kristiansund,63.1115,7.732,8.36,49,75,4.63,NO,1705923838
70,lebu,-37.6167,-73.65,15.19,74,2,5.46,CL,1705923838
71,kavaratti,10.5669,72.642,28.43,69,77,3.88,IN,1705923839
72,thompson,55.7435,-97.8558,-24.91,77,0,3.6,CA,1705923625
73,punta arenas,-53.15,-70.9167,15.01,72,0,14.92,CL,1705923839
74,saipan,15.1355,145.701,25.39,69,100,3.6,MP,1705923839
75,st. john's,47.5649,-52.7093,-1.13,78,75,10.29,CA,1705923686
76,tirebolu,41.0069,38.8139,5.98,65,99,3.27,TR,1705923840
77,vadso,70.0744,29.7487,-4.91,86,75,4.12,NO,1705923840
78,ilhabela,-23.7781,-45.3581,25.61,76,26,1.86,BR,1705923840
79,ambon,-3.6954,128.1814,28.08,78,40,0.51,ID,1705923840
80,chapada dos guimaraes,-15.4606,-55.7497,21.81,67,59,2.45,BR,1705923841
81,invercargill,-46.4,168.35,14.45,93,100,5.36,NZ,1705923640
82,balezino,57.9796,53.0106,-18.73,96,20,2.99,RU,1705923841
83,xilin hot,43.9667,116.0333,-26.37,93,20,2.19,CN,1705923738
84,kingston,17.997,-76.7936,26.23,78,20,1.54,JM,1705923641
85,kourou,5.1552,-52.6478,28.03,83,51,5.27,GF,1705923833
86,sola,-13.8833,167.55,25.94,88,100,3.61,VU,1705923704
87,iqaluit,63.7506,-68.5145,-21.84,76,40,1.54,CA,1705923842
88,susuman,62.7833,148.1667,-45.01,98,86,1.79,RU,1705923842
89,antsiranana,-12.2787,49.2917,27.42,94,75,6.17,MG,1705923842
90,smithers,54.7804,-127.1743,-1.82,74,100,2.06,CA,1705923612
91,saurimo,-9.6608,20.3916,24.72,67,99,2.09,AO,1705923843
92,nemuro,43.3236,145.575,-0.73,71,100,5.49,JP,1705923843
93,happy valley-goose bay,53.3168,-60.3315,-18.83,65,20,3.09,CA,1705923843
94,hastings,50.8552,0.5729,11.1,77,39,13.15,GB,1705923844
95,papatowai,-46.5619,169.4708,13.71,98,98,1.82,NZ,1705923844
96,vorkuta,67.5,64.0,-12.88,94,100,5.3,RU,1705923609
97,nova vicosa,-17.8919,-39.3719,28.46,69,100,0.46,BR,1705923844
98,taro,-8.3862,115.28,25.0,93,96,1.25,ID,1705923845
99,iwon-up,40.3231,128.6553,-10.26,63,98,5.42,KP,1705923845
100,fada,9.5667,8.3,33.32,7,9,2.62,NG,1705923845
101,turpan,42.9333,89.1667,-1.23,39,100,0.36,CN,1705923845
102,opuwo,-18.0607,13.84,33.79,14,53,2.04,NA,1705923845
103,janauba,-15.8025,-43.3089,26.81,72,52,1.32,BR,1705923653
104,huaraz,-9.5333,-77.5333,14.06,73,86,2.65,PE,1705923846
105,jimenez,28.3333,-105.4,10.65,54,69,2.02,MX,1705923846
106,veraval,20.9,70.3667,25.78,43,74,6.06,IN,1705923846
107,port lincoln,-34.7333,135.8667,20.09,70,1,5.05,AU,1705923710
108,mirny,62.5353,113.9611,-12.09,85,100,4.92,RU,1705923847
109,cambridge,43.3601,-80.3127,-5.34,89,100,3.6,CA,1705923769
110,west island,-12.1568,96.8225,27.99,89,75,2.57,CC,1705923847
111,akrehamn,59.2667,5.1833,8.14,76,100,18.52,NO,1705923847
112,richards bay,-28.783,32.0377,27.91,62,23,4.72,ZA,1705923847
113,kailua-kona,19.6406,-155.9956,23.06,77,100,1.54,US,1705923848
114,rongelap,11.1635,166.8941,26.08,79,75,8.88,MH,1705923848
115,east ballina,-28.8667,153.5833,22.11,78,100,6.32,AU,1705923848
116,salalah,17.0151,54.0924,31.05,11,0,8.23,OM,1705923662
117,isafjordur,66.0755,-23.124,-4.98,74,100,2.06,IS,1705923575
118,mili,6.0815,171.735,27.49,83,33,7.82,MH,1705923849
119,namibe,-15.1961,12.1522,26.84,59,22,5.59,AO,1705923849
120,trinidad,-14.8333,-64.9,25.99,94,75,2.06,BO,1705923849
121,vorgashor,67.5833,63.95,-13.56,94,100,5.25,RU,1705923850
122,puerto ayacucho,5.6639,-67.6236,25.35,60,40,2.85,VE,1705923850
123,bovalino,38.149,16.174,14.94,45,82,0.66,IT,1705923850
124,mondlo,-27.983,30.7177,28.35,38,3,5.33,ZA,1705923850
125,funadhoo,6.15,73.2667,28.2,80,45,6.25,MV,1705923850
126,georgetown,5.4112,100.3354,27.96,77,20,4.12,MY,1705923790
127,chibougamau,49.9168,-74.3659,-7.21,86,100,5.14,CA,1705923830
128,mo i rana,66.3128,14.1428,1.26,88,75,9.26,NO,1705923851
129,lobujya,27.95,86.8167,-13.07,53,12,1.53,NP,1705923851
130,enewetak,11.3474,162.3373,26.36,76,79,8.73,MH,1705923852
131,mojokerto,-7.4664,112.4338,25.84,85,95,0.95,ID,1705923852
132,viedma,-40.8135,-62.9967,28.61,16,10,7.0,AR,1705923852
133,uige,-7.6087,15.0613,28.78,43,32,3.03,AO,1705923852
134,praia da vitoria,38.7333,-27.0667,18.14,88,40,11.05,PT,1705923853
135,ust'-kulom,61.6864,53.6902,-19.96,98,78,2.07,RU,1705923853
136,san jose de jachal,-30.2406,-68.7469,22.3,50,49,1.4,AR,1705923853
137,shizukuishi,39.6833,140.9833,3.06,100,100,1.53,JP,1705923853
138,aykhal,66.0,111.5,-20.54,99,87,3.11,RU,1705923854
139,sanctuary point,-35.1114,150.629,20.18,81,80,3.2,AU,1705923854
140,talara,-4.5772,-81.2719,23.97,83,88,5.19,PE,1705923711
141,midvagur,62.0511,-7.1939,4.46,87,75,2.06,FO,1705923854
142,ushuaia,-54.8,-68.3,11.81,76,20,14.92,AR,1705923851
143,mejit,10.2753,170.8646,26.73,80,100,8.62,MH,1705923755
144,port-gentil,-0.7193,8.7815,27.87,79,15,3.63,GA,1705923855
145,rawatbhata,24.9333,75.5833,20.1,27,14,2.36,IN,1705923855
146,coeur d'alene,47.6777,-116.7805,2.07,97,100,4.63,US,1705923856
147,mezhdurechenskiy,59.6,65.9333,-9.51,87,100,4.93,RU,1705923856
148,mahibadhoo,3.7833,72.9667,28.12,79,63,6.82,MV,1705923806
149,princeville,45.7668,-61.2985,-4.82,88,100,5.14,CA,1705923856
150,labrador city,52.9463,-66.9114,-17.05,78,100,6.69,CA,1705923610
151,alibag,18.6411,72.8792,28.04,60,94,5.07,IN,1705923857
152,sikar,27.6167,75.15,17.33,24,74,1.06,IN,1705923857
153,codrington,-38.2667,141.9667,13.26,75,44,5.39,AU,1705923857
154,olonkinbyen,70.9221,-8.7187,-6.0,81,100,7.75,SJ,1705923857
155,woolgoolga,-30.1106,153.2007,23.91,78,99,6.4,AU,1705923858
156,palmares,-8.6833,-35.5917,31.62,51,12,4.08,BR,1705923858
157,wau,7.7029,27.9953,36.95,9,13,2.4,SS,1705923858
158,villa gesell,-37.2639,-56.973,22.81,62,30,4.28,AR,1705923858
159,portland,45.5234,-122.6762,9.76,94,100,8.23,US,1705923750
160,sulak,43.2734,47.5146,1.74,82,100,5.84,RU,1705923859
161,arawa,-6.2132,155.5367,26.57,93,86,1.75,PG,1705923859
162,eyl,7.9803,49.8164,28.35,51,18,11.93,SO,1705923859
163,jessheim,60.1415,11.1752,4.49,90,75,10.29,NO,1705923860
164,sitka,57.0531,-135.33,3.94,93,100,3.09,US,1705923860
165,luderitz,-26.6481,15.1594,25.41,55,0,12.03,NA,1705923860
166,la mira,18.035,-102.3266,22.24,79,13,2.11,MX,1705923722
167,dom pedrito,-30.9828,-54.6731,20.59,66,26,5.5,BR,1705923860
168,beawar,26.1,74.3167,20.52,21,60,1.83,IN,1705923861
169,tofol,5.3248,163.0078,27.88,81,100,8.54,FM,1705923861
170,tateyama,34.9833,139.8667,12.28,88,100,4.07,JP,1705923861
171,hithadhoo,-0.6,73.0833,29.15,75,64,6.49,MV,1705923567
172,mount gambier,-37.8333,140.7667,13.19,72,41,4.15,AU,1705923861
173,utrik,11.2278,169.8474,26.41,79,72,9.22,MH,1705923862
174,divnomorskoye,44.5011,38.1353,0.1,80,33,8.48,RU,1705923862
175,dwarka,22.2394,68.9678,23.51,50,21,5.24,IN,1705923862
176,thinadhoo,0.5333,72.9333,28.73,75,63,6.61,MV,1705923862
177,sira,13.7453,76.9092,32.24,27,6,1.63,IN,1705923862
178,balqash,46.8481,74.995,-12.67,78,0,3.0,KZ,1705923863
179,la palma,33.8464,-118.0467,15.3,95,100,4.63,US,1705923863
180,constantia,44.1833,28.65,-4.62,70,86,2.43,RO,1705923845
181,chavinda,20.0167,-102.45,12.16,80,80,1.23,MX,1705923863
182,segezha,63.7415,34.3222,-4.65,88,97,7.41,RU,1705923864
183,bereket,39.2446,55.5154,12.31,59,12,7.06,TM,1705923681
184,fairbanks,64.8378,-147.7164,-36.0,54,0,1.54,US,1705923864
185,mpanda,-6.3655,31.0409,21.75,83,96,0.98,TZ,1705923864
186,san patricio,28.017,-97.5169,13.94,98,100,2.33,US,1705923573
187,touros,-5.1989,-35.4608,30.23,65,10,5.02,BR,1705923865
188,basco,20.4487,121.9702,23.06,78,100,12.43,PH,1705923865
189,egilsstadir,65.2653,-14.3948,-5.05,86,100,6.17,IS,1705923866
190,petawawa,45.9001,-77.3328,-5.68,77,100,0.45,CA,1705923866
191,dingcheng,32.1272,115.0394,-2.61,39,100,2.92,CN,1705923866
192,robbah,33.2797,6.9098,12.8,46,100,4.11,DZ,1705923866
